surface	research_profile	current_v0.5.208_top_result	collision_or_gap	linguistic_evidence_weight	recommended_action
你要粥定係飯？	NP alternative direct question	SubjectModalPredicateClause > ModalVP	Full-span coverage is produced by a broad modal host; no alternative set, question type, connector ownership, or answer-selection relation is represented. 粥 is also unknown in this baseline.	0	Do not treat coverage as analysis. Future node must preserve both alternative spans and connector.
你要粥定飯？	reduced 定 connector	SubjectModalPredicateClause > ModalVP	Lexical 定 is tagged as alternative connector here, but no construction distinguishes it from lexical/resultative or prospective 定.	0	Require parallel alternatives and question/embedded-interrogative evidence; add lexical 定 negative boundaries.
你飲茶定係飲咖啡？	VP alternative direct question	ProductiveVO plus TransitiveVP; subject and 定係 unwrapped	Semantically parallel alternatives fragment into unrelated VP nodes. The connector has no governing relation.	0	Future research node must coordinate complete VP alternatives and attach the subject once without hidden copying.
喺前面定係後面？	locative alternative fragment	LocativePlacePhrase over 喺前面; 定係 and 後面 unwrapped	Only the first location forms a phrase. No shared locative domain or elliptical second 喺 analysis is represented.	0	Research constituent ellipsis and shared coverb explicitly; do not insert a hidden second 喺 without evidence.
究竟你飲奶茶定係咖啡？	IS diagnostic with 究竟	TransitiveVP only; 究竟, subject, connector, and second alternative unwrapped	No question construction and 究竟 is unknown. Source diagnostic cannot be represented.	0	Add only after lexical and speaker verification; preserve adverb scope and question-family metadata.
你要粥定係飯咩？	alternative plus polar 咩 boundary	PolarQuestionFrame over SubjectModalPredicateClause	Runtime assigns a complete polar-question wrapper, conflicting with the inspected source's *咩 alternative-question judgment.	0	Open explicit negative-boundary review; do not encode categorical rejection until independent native replication.
你要粥定係飯先？	alternative plus IS tail 先	SubjectModalPredicateClause > ModalVP	Final 先 is flattened as sequence_or_focus inside the modal VP; no sentence-final IS-tail scope.	0	Research exact 先 subtype and retain its visible scope over the alternative question.
你要粥定係飯話？	alternative plus IS tail 話	SubjectModalPredicateClause > ModalVP	Final 話 is treated as speech_reporting_verb inside the host rather than a sentence-final IS element.	0	Separate reported-speech 話 from question-tail 話 before implementation.
我問阿妹佢諗過定係睇過。	embedded alternative interrogative	Two ExperientialVP nodes; matrix material and 定係 unwrapped	No embedded question complement or coordinated alternative relation is built.	0	Research embedding predicate inventory and direct/indirect distinction; punctuation cannot define the construction.
你係攞景定係贈興呀？	copular/focus host with VP-like alternatives	No top construction	Initial 係, lexical alternatives, connector, and final 呀 remain flat. It is unsafe to treat 係定係 as one connector.	0	Separate matrix/focus 係 from linker 定係 and research particle tone/function.
你去唔去？	A-not-A comparison	ANotAQuestion	Existing surface A-not-A node is distinct and complete; it does not cover overt lexical alternatives.	0	Retain separate surface analysis even if future ontology groups both under an IS/disjunctive superfamily.
你去咩？	polar-particle comparison	PolarQuestionFrame	Current polar node covers a single proposition plus 咩 and should remain distinct from overt alternative questions.	0	Use as structural contrast; do not generalize PolarQuestionFrame over 定/定係 alternatives.
企定啲。	lexical/result-state 定 boundary	Delimited or lexical VP family depending context	Same written token is not an alternative connector.	0	Future matcher must require two parallel alternatives and exclude complement/resultative 定.
問定條路。	prospective/in-advance 定 boundary	ordinary VP/unknown depending lexicon	定 contributes advance preparation rather than disjunction.	0	Maintain lexical sense split; token identity is insufficient.
我哋食飯或者食麵。	declarative disjunction boundary	no dedicated alternative-question construction	或者 can coordinate declarative possibilities and should not automatically trigger an interrogative alternative node.	0	Research declarative versus interrogative disjunction and connector-specific semantics.
