candidate_id	source_file	source_file_sha256	turn_index_zero_based	token_index_zero_based	participant	repetition_shape	repeated_surface	base_surface	suffix_surface	marker_surface	marker_jyutping	marker_hkcancor_pos	marker_ud_pos	left_lexical_distance_to_marker	predicate_surface	predicate_pos	predicate_ud_pos	predicate_jyutping	right_lexical_distance_from_marker	adjacent_modifier_marker	adjacent_marker_predicate	intervening_left_tokens_json	intervening_right_tokens_json	matched_surface_span	text	previous_text	next_text	tokens_json	annotation_status
aa84gm-43092fe3b3929e17a03c	FC-020_v.cha	6ec07be8de5bf5784dc1c6dba433bfb4eda92663c929a3e67c02103e0c8f0bf7	511	4	XXA	exact_halves_token	個個	個		噉	gam2	r	PRON	3	講	v	VERB	gong2	1	False	True	"[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1"",""udPos"":""ADV""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6"",""udPos"":""VERB""}]"	[]	個個都係噉講	因為個個都係噉講嘅.	唔係啊,因為我覺得佢係禮貌上話好高興啊.	係啊,係啊,即係總之係打返去promote,佢都係話好高興囖.	"[{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""個個"",""pos"":""q"",""jyutping"":""go3go3""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""噉"",""pos"":""r"",""jyutping"":""gam2""},{""word"":""講"",""pos"":""v"",""jyutping"":""gong2""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-aa621193685b4148d549	FC-025_v.cha	de4c852f32310e64c446e91363e0db7332531bc8026287ddd750d7a6388f7131	303	1	XXY	aabb_token	符符碌碌			噉	gam2	r	PRON	1	俾	v	VERB	bei2	1	True	True	[]	[]	符符碌碌噉俾	符符碌碌噉俾你哋贏咗吖嗎.	分分鐘代表公司出賽,第時攞埋冠軍.	乜嘢符符碌碌啊?	"[{""word"":""符符碌碌"",""pos"":""z"",""jyutping"":""fu6fu6luk1luk1""},{""word"":""噉"",""pos"":""r"",""jyutping"":""gam2""},{""word"":""俾"",""pos"":""v"",""jyutping"":""bei2""},{""word"":""你哋"",""pos"":""r"",""jyutping"":""nei5dei6""},{""word"":""贏"",""pos"":""v"",""jyutping"":""jeng4""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""吖"",""pos"":""y"",""jyutping"":""aa1""},{""word"":""嗎"",""pos"":""y"",""jyutping"":""maa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-1ce97ee109507f3e58ba	FC-025_v.cha	de4c852f32310e64c446e91363e0db7332531bc8026287ddd750d7a6388f7131	603	8	XXY	aabb_token	大大隻隻			噉	gam2	c	CCONJ	1	覺得	v	VERB	gok3dak1	3	True	False	[]	"[{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1"",""udPos"":""PART""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6"",""udPos"":""ADV""}]"	大大隻隻噉喇就覺得	但係始終都係望落去就大大隻隻噉喇就覺得佢.	但係就唔係肥嗰隻囖.	好核突.	"[{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""始終"",""pos"":""d"",""jyutping"":""ci2zung1""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""望"",""pos"":""v"",""jyutping"":""mong6""},{""word"":""落去"",""pos"":""v"",""jyutping"":""lok6heoi3""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""大大隻隻"",""pos"":""z"",""jyutping"":""daai6daai6zek3zek3""},{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""覺得"",""pos"":""v"",""jyutping"":""gok3dak1""},{""word"":""佢"",""pos"":""r"",""jyutping"":""keoi5""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-aa080495ff27d693d52e	FC-028_v2.cha	1c64c3e02fa481dcad61f4e9c85b8efe724799e910fc96fc24504bf15be32d2a	449	2	XXA	exact_halves_token	個個	個		咁	gam3	d	ADV	2	勁	a	ADJ	ging6	1	False	True	"[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1"",""udPos"":""ADV""}]"	[]	個個都咁勁	個個都咁勁啊.	邊個正啊?	你鍾意邊個唧?	"[{""word"":""個個"",""pos"":""q"",""jyutping"":""go3go3""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""勁"",""pos"":""a"",""jyutping"":""ging6""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-0a7f768513f1e7785164	FC-028_v2.cha	1c64c3e02fa481dcad61f4e9c85b8efe724799e910fc96fc24504bf15be32d2a	451	2	XXA	exact_halves_token	個個	個		咁	gam3	d	ADV	2	勁	a	ADJ	ging6	1	False	True	"[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1"",""udPos"":""ADV""}]"	[]	個個都咁勁	個個都咁勁.	你鍾意邊個唧?	你鍾意邊個唧?	"[{""word"":""個個"",""pos"":""q"",""jyutping"":""go3go3""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""勁"",""pos"":""a"",""jyutping"":""ging6""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-687865c3c482cc5530b3	FC-029_v.cha	f2a94065a152941f5cea9ec552fd343fb65c0c8532dda4c7b5b914b449d06f86	267	12	XXA	exact_halves_token	c.c.	c.		咁	gam3	d	ADV	1	大	a	ADJ	daai6	1	True	True	[]	[]	c.c.咁大	噉𠻺係,你啱啱新牌又揸架c.c.咁大嘅.	唔知啊,唔想買架千六囖,佢話.	係喇.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""你"",""pos"":""r"",""jyutping"":""nei5""},{""word"":""啱啱"",""pos"":""d"",""jyutping"":""ngaam1ngaam1""},{""word"":""新"",""pos"":""a"",""jyutping"":""san1""},{""word"":""牌"",""pos"":""n"",""jyutping"":""paai4""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""揸"",""pos"":""v"",""jyutping"":""zaa1""},{""word"":""架"",""pos"":""q"",""jyutping"":""gaa3""},{""word"":""c.c."",""pos"":""xq"",""jyutping"":null},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""大"",""pos"":""a"",""jyutping"":""daai6""},{""word"":""嘅"",""pos"":""u"",""jyutping"":""ge3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-32446175225ab6a72c7d	FC-029_v.cha	f2a94065a152941f5cea9ec552fd343fb65c0c8532dda4c7b5b914b449d06f86	376	19	XXA	exact_halves_token	日日	日		咁	gam3	d	ADV	2	早	a	ADJ	zou2	1	False	True	"[{""word"":""都"",""pos"":""d"",""jyutping"":""dou1"",""udPos"":""ADV""}]"	[]	日日都咁早	但係而家唔知係唔係呢因為朝頭早起身呢太早啊,又要日日都咁早起身呢.	咪係囖,真係吖.	幾點起身啊?	"[{""word"":""但係"",""pos"":""c"",""jyutping"":""daan6hai6""},{""word"":""而家"",""pos"":""t"",""jyutping"":""ji4gaa1""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":""係"",""pos"":""v"",""jyutping"":""hai6""},{""word"":""唔係"",""pos"":""v"",""jyutping"":""m4hai6""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""因為"",""pos"":""c"",""jyutping"":""jan1wai6""},{""word"":""朝頭早"",""pos"":""t"",""jyutping"":""ziu1tau4zou2""},{""word"":""起身"",""pos"":""v"",""jyutping"":""hei2san1""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""太"",""pos"":""d"",""jyutping"":""taai3""},{""word"":""早"",""pos"":""a"",""jyutping"":""zou2""},{""word"":""啊"",""pos"":""y"",""jyutping"":""aa3""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""要"",""pos"":""vu"",""jyutping"":""jiu3""},{""word"":""日日"",""pos"":""q"",""jyutping"":""jat6jat6""},{""word"":""都"",""pos"":""d"",""jyutping"":""dou1""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""早"",""pos"":""a"",""jyutping"":""zou2""},{""word"":""起身"",""pos"":""v"",""jyutping"":""hei2san1""},{""word"":""呢"",""pos"":""y"",""jyutping"":""ne1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-22cd8114636903a47087	FC-035_v2.cha	ddb29bab01e3e932a9a80ffb3342df28e08dfc77d7f4527f5fc39d5a25ea4f5b	26	6	XXX	repeated_prefix_token	嗱嗱臨	嗱	臨	噉	gam2	r	PRON	1	攞	v	VERB	lo2	2	True	False	[]	"[{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1"",""udPos"":""PART""}]"	嗱嗱臨噉呢攞	噉又唔知點解嗱嗱臨噉呢攞啲錢出來喎.	跟住我哋都依然不以為意,噉佢於-於是乎,但係我又唔係好明點解佢問我哋邊度有錢暢囖.	跟住呢,就有兩個話係佢哋係警察嘅人呢就走埋來囖,噉,於是乎話我哋非法喺度暢錢喎.	"[{""word"":""噉"",""pos"":""c"",""jyutping"":""gam2""},{""word"":""又"",""pos"":""d"",""jyutping"":""jau6""},{""word"":""唔"",""pos"":""d"",""jyutping"":""m4""},{""word"":""知"",""pos"":""v"",""jyutping"":""zi1""},{""word"":""點解"",""pos"":""r"",""jyutping"":""dim2gaai2""},{""word"":""嗱嗱臨"",""pos"":""z"",""jyutping"":""naa4naa4lam4""},{""word"":""噉"",""pos"":""r"",""jyutping"":""gam2""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":""攞"",""pos"":""v"",""jyutping"":""lo2""},{""word"":""啲"",""pos"":""q"",""jyutping"":""di1""},{""word"":""錢"",""pos"":""n"",""jyutping"":""cin2""},{""word"":""出來"",""pos"":""v"",""jyutping"":""ceot1lai4""},{""word"":""喎"",""pos"":""y"",""jyutping"":""wo3""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-2f55a84815b33942a9d4	FC-038a_v2.cha	cd4ad166269f1a897199628fbebf608cca6cf01ecdb49fe51e80ed7340d7fc37	14	5	XXY	repeated_prefix_token	死死氣	死	氣	噉	gam2	r	PRON	1	返	v	VERB	faan1	1	True	True	[]	[]	死死氣噉返	諗住呢,死死氣噉返屋企喇噉樣喇,冇行喇.	係咩?	有三個人報串.	"[{""word"":""諗"",""pos"":""v"",""jyutping"":""nam2""},{""word"":""住"",""pos"":""u"",""jyutping"":""zyu6""},{""word"":""呢"",""pos"":""y1"",""jyutping"":""ne1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""死死氣"",""pos"":""d"",""jyutping"":""sei2sei2hei3""},{""word"":""噉"",""pos"":""r"",""jyutping"":""gam2""},{""word"":""返"",""pos"":""v"",""jyutping"":""faan1""},{""word"":""屋企"",""pos"":""n"",""jyutping"":""uk1kei2""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""噉樣"",""pos"":""c"",""jyutping"":""gam2joeng2""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""冇行"",""pos"":""v"",""jyutping"":""mou5hong4""},{""word"":""喇"",""pos"":""y"",""jyutping"":""laa1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
aa84gm-f15479eb17897a5a89ac	FC-044_v2.cha	72dc24a95d5582e7e52a6748c1ac01d08fe1918399ebfb107c551c6656435430	143	15	XXE	exact_halves_token	少少	少		咁	gam3	d	ADV	1	多	a	ADJ	do1	1	True	True	[]	[]	少少咁多	嗱,第一次搬𠻺搬咗之後就-就遠咗少少咁多.	你應該一次過搬去屯門吖嗎應該.	跟住而家搬咗荃灣都唔係真係遠得幾多咋喎,話時話.	"[{""word"":""嗱"",""pos"":""y"",""jyutping"":""laa4""},{""word"":"","",""pos"":"""",""jyutping"":null},{""word"":""第一"",""pos"":""m"",""jyutping"":""dai6jat1""},{""word"":""次"",""pos"":""q"",""jyutping"":""ci3""},{""word"":""搬"",""pos"":""v"",""jyutping"":""bun1""},{""word"":""𠻺"",""pos"":""d"",""jyutping"":""aa6""},{""word"":""搬"",""pos"":""v"",""jyutping"":""bun1""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""之後"",""pos"":""f"",""jyutping"":""zi1hau6""},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""-"",""pos"":"""",""jyutping"":null},{""word"":""就"",""pos"":""d"",""jyutping"":""zau6""},{""word"":""遠"",""pos"":""a"",""jyutping"":""jyun5""},{""word"":""咗"",""pos"":""u"",""jyutping"":""zo2""},{""word"":""少少"",""pos"":""d"",""jyutping"":""siu2siu2""},{""word"":""咁"",""pos"":""d"",""jyutping"":""gam3""},{""word"":""多"",""pos"":""a"",""jyutping"":""do1""},{""word"":""."",""pos"":"""",""jyutping"":null}]"	REQUIRES_EXPERT_CONTEXT_REVIEW
